Left hand keypoints:
1162.021729 505.222565 0.176072
1145.225952 439.718964 0.465048
1136.828125 359.099182 0.653800
1162.021729 280.158997 0.797578
1212.409180 226.412460 0.601974
1247.680298 367.497070 0.235541
1247.680298 295.275208 0.454882
1242.641602 228.092041 0.352966
1247.680298 212.975830 0.072808
1281.271851 402.768250 0.272415
1279.592285 374.215393 0.051533
1235.923218 226.412460 0.079633
1229.204956 362.458344 0.046659
1309.824707 421.243622 0.275606
1331.659302 402.768250 0.031381
1316.543091 402.768250 0.015949
1274.553589 419.564026 0.036782
1335.018433 433.000671 0.271011
1397.162842 365.817505 0.379230
1442.511475 322.148468 0.397109
1472.743896 285.197723 0.255793
