Left hand keypoints:
1278.853882 630.419373 0.179319
1220.956177 454.796326 0.406341
1209.376587 335.141083 0.264295
1213.236450 244.434692 0.588519
1259.554565 182.677139 0.122064
1228.675781 306.192230 0.347264
1217.096313 227.065369 0.284179
1230.605713 144.078674 0.199204
1276.923950 147.938522 0.080545
1280.783813 313.911926 0.364558
1290.433350 196.186600 0.478817
1300.083008 146.008591 0.232835
1305.872803 147.938522 0.025534
1338.681519 319.701691 0.419923
1383.069702 198.116531 0.653912
1394.649292 144.078674 0.237575
1381.139771 147.938522 0.022529
1392.719360 335.141083 0.618123
1446.757202 263.733917 0.668817
1481.495850 211.625992 0.712036
1514.304443 165.307831 0.513409
